"region","area","1950_25","1950_70","1950_99","1975_25","1975_70","1975_99","1999_25","1999_70","1999_99"
"australia_new zealand","","0.01 (0)","0.02 (0.01)","0.02 (0.01)","0 (0)","0.01 (0)","0.01 (0)","0 (0)","0.01 (0)","0.01 (0)"
"","australia","0.01","0.02","0.01","<0.01","0.01","0.01","<0.01","0.01","0.01"
"","new zealand","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"central and southern asia","","19.02 (0.51)","3.98 (0.06)","0.52 (0.01)","11.17 (0.39)","5.48 (0.12)","1.35 (0.02)","4.86 (0.15)","4.37 (0.12)","2.03 (0.06)"
"","afghanistan","0.47","0.07","<0.01","0.5","0.16","0.01","0.23","0.17","0.03"
"","bangladesh","1.99","0.31","0.11","0.79","0.37","0.26","0.2","0.24","0.32"
"","bhutan","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","india","13.65","2.95","0.34","7.52","3.93","0.9","2.87","2.95","1.38"
"","iran (islamic republic of)","0.58","0.08","0.02","0.12","0.08","0.07","0.03","0.04","0.08"
"","kazakhstan","0.08","0.05","0.01","0.04","0.06","0.02","0.01","0.03","0.02"
"","kyrgyzstan","0.03","0.01","<0.01","0.02","0.02","0.01","0.01","0.02","0.01"
"","maldives","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","nepal","0.4","0.05","<0.01","0.16","0.07","0.02","0.04","0.05","0.04"
"","pakistan","1.4","0.31","0.01","1.78","0.63","0.03","1.39","0.74","0.08"
"","sri lanka","0.08","0.05","0.01","0.02","0.03","0.02","0.01","0.02","0.03"
"","tajikistan","0.07","0.02","<0.01","0.05","0.02","<0.01","0.02","0.03","0.01"
"","turkmenistan","0.04","0.02","<0.01","0.03","0.02","<0.01","0.02","0.02","<0.01"
"","uzbekistan","0.19","0.06","<0.01","0.12","0.09","0.02","0.04","0.07","0.02"
"eastern and south-eastern asia","","12.79 (0.47)","4.34 (0.16)","1.93 (0.07)","3.89 (0.11)","2.92 (0.13)","2.22 (0.1)","1.18 (0.05)","1.85 (0.08)","2.31 (0.07)"
"","brunei darussalam","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","cambodia","0.6","0.03","<0.01","0.07","0.03","0.01","0.03","0.04","0.02"
"","china","7.83","2.41","1.28","2.04","1.22","1.41","0.44","0.65","1.43"
"","china, hong kong sar","0.01","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","china, macao sar","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","china, taiwan province of china","0.03","0.06","0.04","0.01","0.02","0.03","<0.01","0.01","0.01"
"","dem people's republic of korea","0.07","0.03","0.01","0.07","0.03","0.01","0.02","0.02","0.02"
"","indonesia","1.87","0.61","0.06","0.74","0.58","0.16","0.27","0.43","0.27"
"","japan","0.1","0.13","0.18","0.02","0.05","0.11","<0.01","0.02","0.06"
"","lao people's democratic republic","0.09","0.02","<0.01","0.06","0.02","<0.01","0.02","0.02","0.01"
"","malaysia","0.06","0.07","0.01","0.02","0.05","0.02","0.01","0.03","0.03"
"","mongolia","0.03","0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","myanmar","0.6","0.17","0.01","0.31","0.16","0.01","0.12","0.12","0.02"
"","philippines","0.52","0.35","0.06","0.3","0.39","0.12","0.15","0.3","0.16"
"","republic of korea","0.17","0.06","0.07","0.02","0.03","0.07","<0.01","0.01","0.02"
"","singapore","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","thailand","0.3","0.16","0.07","0.07","0.11","0.1","0.01","0.05","0.08"
"","timor-leste","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01"
"","viet nam","0.48","0.24","0.11","0.16","0.2","0.15","0.09","0.13","0.16"
"europe and northern america","","1.11 (0.02)","2.05 (0.02)","0.77 (0.01)","0.34 (0)","1.14 (0.01)","0.74 (0.01)","0.15 (0)","0.66 (0.01)","0.68 (0.01)"
"","albania","0.01","0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","austria","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","belarus","0.01","0.03","<0.01","<0.01","0.02","0.01","<0.01","0.01","0.01"
"","belgium","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","bosnia and herzegovina","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","bulgaria","0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","canada","0.02","0.03","0.02","0.01","0.01","0.02","<0.01","0.01","0.01"
"","channel islands","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","croatia","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","czechia","0.01","0.02","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","denmark","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","estonia","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","finland","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","france","0.04","0.08","0.06","0.01","0.04","0.05","0.01","0.03","0.04"
"","germany","0.05","0.09","0.05","0.01","0.03","0.04","<0.01","0.02","0.04"
"","greece","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","hungary","0.02","0.03","0.01","<0.01","0.02","0.01","<0.01","<0.01","<0.01"
"","iceland","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","ireland","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","italy","0.05","0.05","0.05","0.01","0.02","0.03","<0.01","0.01","0.02"
"","latvia","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","lithuania","<0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","luxembourg","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","malta","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","montenegro","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","netherlands","0.01","0.02","0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01"
"","north macedonia","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","norway","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","poland","0.07","0.1","0.05","0.01","0.05","0.05","<0.01","0.02","0.03"
"","portugal","0.03","0.02","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","republic of moldova","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","romania","0.05","0.07","0.01","0.02","0.04","0.02","<0.01","0.01","0.01"
"","russian federation","0.24","0.5","0.08","0.09","0.29","0.09","0.02","0.17","0.09"
"","serbia","0.02","0.03","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","slovakia","0.01","0.02","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","slovenia","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","spain","0.04","0.04","0.04","0.01","0.02","0.02","<0.01","0.01","0.01"
"","sweden","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","switzerland","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","ukraine","0.07","0.18","0.01","0.02","0.1","0.02","0.01","0.04","0.02"
"","united kingdom","0.04","0.07","0.04","0.01","0.03","0.03","0.01","0.02","0.03"
"","united states of america","0.19","0.53","0.26","0.08","0.33","0.27","0.07","0.26","0.3"
"latin america and the caribbean","","3.38 (0.08)","1.52 (0.03)","0.63 (0.01)","1.13 (0.03)","1.34 (0.03)","1.02 (0.02)","0.47 (0.01)","0.82 (0.02)","1.09 (0.02)"
"","antigua and barbuda","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","argentina","0.09","0.07","0.03","0.04","0.07","0.05","0.02","0.05","0.07"
"","aruba","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","bahamas","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","barbados","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","belize","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","bolivia (plurinational state of)","0.15","0.02","0.01","0.07","0.03","0.02","0.03","0.03","0.02"
"","brazil","1.2","0.48","0.23","0.33","0.38","0.35","0.09","0.21","0.34"
"","chile","0.05","0.03","0.02","0.01","0.02","0.03","<0.01","0.01","0.02"
"","colombia","0.18","0.1","0.05","0.06","0.08","0.08","0.02","0.04","0.08"
"","costa rica","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01"
"","cuba","0.01","0.03","0.02","<0.01","0.01","0.01","<0.01","0.01","0.01"
"","curaçao","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","dominican republic","0.07","0.03","0.01","0.02","0.03","0.02","0.01","0.02","0.02"
"","ecuador","0.1","0.03","0.02","0.03","0.03","0.03","0.01","0.02","0.04"
"","el salvador","0.09","0.03","0.01","0.02","0.03","0.01","<0.01","0.01","0.01"
"","french guiana","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","grenada","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","guadeloupe","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","guatemala","0.15","0.04","0.01","0.07","0.05","0.03","0.03","0.04","0.04"
"","guyana","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","haiti","0.13","0.03","<0.01","0.1","0.04","0.01","0.06","0.04","0.01"
"","honduras","0.07","0.02","0.01","0.03","0.03","0.02","0.01","0.02","0.02"
"","jamaica","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","martinique","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","mexico","0.61","0.37","0.12","0.19","0.32","0.19","0.09","0.19","0.22"
"","nicaragua","0.06","0.02","0.01","0.01","0.02","0.01","0.01","0.01","0.02"
"","panama","0.01","0.01","0.01","0.01","0.01","0.01","<0.01","0.01","0.01"
"","paraguay","0.03","0.02","<0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"","peru","0.26","0.06","0.03","0.06","0.06","0.06","0.02","0.03","0.06"
"","puerto rico","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","saint lucia","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","saint vincent and the grenadines","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","suriname","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","trinidad and tobago","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","united states virgin islands","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","uruguay","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01"
"","venezuela (bolivarian republic of)","0.07","0.07","0.02","0.03","0.07","0.04","0.04","0.06","0.05"
"northern africa and western asia","","3.88 (0.15)","0.85 (0.04)","0.17 (0.01)","1.5 (0.09)","1.01 (0.03)","0.4 (0.01)","0.83 (0.03)","0.96 (0.02)","0.59 (0.03)"
"","algeria","0.45","0.07","0.02","0.09","0.06","0.04","0.04","0.03","0.05"
"","armenia","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","azerbaijan","0.07","0.02","<0.01","0.03","0.02","<0.01","0.01","0.01","0.01"
"","bahrain","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","cyprus","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","egypt","0.93","0.19","0.02","0.25","0.26","0.06","0.12","0.25","0.14"
"","georgia","0.01","0.02","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","iraq","0.16","0.08","<0.01","0.13","0.11","0.02","0.09","0.13","0.04"
"","israel","0.01","<0.01","<0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01"
"","jordan","0.01","0.01","<0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"","kuwait","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","lebanon","0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","libya","0.03","0.02","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","morocco","0.41","0.05","0.01","0.1","0.04","0.03","0.03","0.02","0.04"
"","oman","0.02","<0.01","<0.01","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","qatar","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","saudi arabia","0.1","0.02","0.01","0.04","0.04","0.03","0.01","0.02","0.03"
"","state of palestine","0.03","0.01","<0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"","sudan","0.29","0.09","<0.01","0.35","0.15","0.01","0.3","0.22","0.04"
"","syrian arab republic","0.1","0.04","0.01","0.04","0.04","0.02","0.02","0.03","0.03"
"","tunisia","0.1","0.02","0.01","0.02","0.01","0.01","0.01","0.01","0.01"
"","turkey","0.85","0.13","0.06","0.19","0.1","0.12","0.05","0.06","0.13"
"","united arab emirates","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","western sahara","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","yemen","0.27","0.05","<0.01","0.2","0.11","0.01","0.13","0.12","0.01"
"oceania (excluding australia and new zealand)","","0.06 (0)","0.03 (0)","0 (0)","0.06 (0)","0.04 (0)","0 (0)","0.04 (0)","0.04 (0)","0.01 (0)"
"","fiji","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","french polynesia","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","guam","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","kiribati","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","micronesia (fed states of)","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","new caledonia","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","papua new guinea","0.05","0.02","<0.01","0.05","0.03","<0.01","0.03","0.04","<0.01"
"","samoa","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","solomon islands","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","tonga","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","vanuatu","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"sub-saharan africa","","9.56 (0.22)","2 (0.04)","0.03 (0)","12.55 (0.27)","3.73 (0.07)","0.18 (0)","8.45 (0.18)","5.78 (0.11)","0.66 (0.01)"
"","angola","0.31","0.05","<0.01","0.43","0.1","<0.01","0.27","0.21","0.02"
"","benin","0.11","0.02","<0.01","0.13","0.04","<0.01","0.14","0.07","0.01"
"","botswana","0.01","0.01","<0.01","0.01","0.01","<0.01","0.01","0.01","<0.01"
"","burkina faso","0.24","0.04","<0.01","0.3","0.06","<0.01","0.18","0.11","0.01"
"","burundi","0.16","0.03","<0.01","0.18","0.05","<0.01","0.08","0.06","0.01"
"","cabo verde","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","cameroon","0.18","0.05","<0.01","0.3","0.1","<0.01","0.21","0.15","<0.01"
"","central african republic","0.05","0.01","<0.01","0.08","0.02","<0.01","0.06","0.04","<0.01"
"","chad","0.15","0.03","<0.01","0.26","0.07","<0.01","0.24","0.12","<0.01"
"","comoros","0.01","<0.01","<0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01"
"","congo","0.03","0.01","<0.01","0.04","0.02","<0.01","0.02","0.03","<0.01"
"","côte d'ivoire","0.14","0.04","<0.01","0.29","0.1","<0.01","0.23","0.18","<0.01"
"","democratic republic of the congo","0.69","0.14","<0.01","1.15","0.29","0.01","1.14","0.55","0.05"
"","djibouti","<0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","equatorial guinea","0.01","<0.01","<0.01","0.01","<0.01","<0.01","0.01","0.01","<0.01"
"","eritrea","0.04","0.01","<0.01","0.03","0.02","<0.01","0.01","0.02","0.01"
"","eswatini","0.01","<0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","ethiopia","1.09","0.17","0.01","1.18","0.35","0.06","0.51","0.47","0.18"
"","gabon","0.01","<0.01","<0.01","0.01","0.01","<0.01","0.01","0.01","<0.01"
"","gambia","0.02","<0.01","<0.01","0.02","0.01","<0.01","0.02","0.01","<0.01"
"","ghana","0.22","0.06","<0.01","0.22","0.1","<0.01","0.13","0.12","0.01"
"","guinea","0.18","0.02","<0.01","0.18","0.04","<0.01","0.11","0.07","<0.01"
"","guinea-bissau","0.03","0.01","<0.01","0.03","0.01","<0.01","0.01","0.01","<0.01"
"","kenya","0.3","0.11","<0.01","0.43","0.2","0.01","0.19","0.23","0.05"
"","lesotho","0.02","0.01","<0.01","0.03","0.01","<0.01","0.01","0.01","<0.01"
"","liberia","0.05","0.01","<0.01","0.06","0.02","<0.01","0.03","0.02","<0.01"
"","madagascar","0.24","0.05","<0.01","0.19","0.08","0.01","0.1","0.11","0.04"
"","malawi","0.2","0.03","<0.01","0.21","0.06","<0.01","0.08","0.09","0.02"
"","mali","0.31","0.03","<0.01","0.34","0.07","<0.01","0.25","0.13","<0.01"
"","mauritania","0.03","0.01","<0.01","0.04","0.02","<0.01","0.03","0.02","<0.01"
"","mauritius","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","mayotte","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","mozambique","0.36","0.06","<0.01","0.36","0.11","<0.01","0.2","0.2","0.02"
"","namibia","0.01","0.01","<0.01","0.01","0.01","<0.01","0.01","0.01","<0.01"
"","niger","0.26","0.03","<0.01","0.34","0.07","<0.01","0.25","0.17","0.02"
"","nigeria","1.98","0.38","<0.01","3.15","0.73","<0.01","2.38","1.19","0.02"
"","réunion","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","rwanda","0.19","0.02","<0.01","0.19","0.04","0.01","0.03","0.04","0.02"
"","sao tome and principe","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","senegal","0.16","0.02","<0.01","0.15","0.05","<0.01","0.06","0.07","0.02"
"","seychelles","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","sierra leone","0.11","0.01","<0.01","0.14","0.03","<0.01","0.07","0.04","<0.01"
"","somalia","0.14","0.03","<0.01","0.22","0.06","<0.01","0.31","0.12","<0.01"
"","south africa","0.32","0.19","<0.01","0.26","0.2","<0.01","0.09","0.18","0.01"
"","south sudan","0.16","0.02","<0.01","0.17","0.05","<0.01","0.14","0.07","<0.01"
"","togo","0.07","0.02","<0.01","0.09","0.03","<0.01","0.06","0.04","<0.01"
"","uganda","0.31","0.07","<0.01","0.48","0.17","0.01","0.27","0.27","0.03"
"","united republic of tanzania","0.41","0.08","<0.01","0.47","0.18","0.01","0.32","0.31","0.05"
"","zambia","0.11","0.03","<0.01","0.22","0.07","<0.01","0.1","0.12","0.01"
"","zimbabwe","0.11","0.05","<0.01","0.14","0.07","<0.01","0.06","0.09","0.01"
